exp,cpg,beta,p
26w MCNP,cg11744295,0.209716866,8.76763E-05
26w MEHHP,cg20979384,0.872676603,8.77267E-05
Avg MBP,cg17569413,-0.304195375,8.78056E-05
13w MCPP,cg14576962,0.12336015,8.78148E-05
13w MBzP,cg10831324,-0.133319769,8.7882E-05
Avg MECPP,cg07006526,0.590468714,8.80642E-05
Avg ?DEHP,cg16906346,0.540710357,8.81554E-05
26w MCNP,cg13169780,0.232420878,8.8173E-05
Avg MEP,cg23006885,0.260795347,8.83181E-05
Avg MEHP,cg04215348,0.292730026,8.85436E-05
26w MECPP,cg02022481,0.244630615,8.8741E-05
26w MEOHP,cg25638602,0.189339847,8.87604E-05
Avg ?HMW,cg04307831,0.9264316,8.87645E-05
13w MEOHP,cg00015319,0.107236831,8.87698E-05
26w MCNP,cg12784848,0.255837626,8.87976E-05
13w ?DEHP,cg18011273,-0.20159192,8.89426E-05
26w MCNP,cg11316784,0.180440374,8.91041E-05
26w MCNP,cg11803077,0.208152794,8.91519E-05
26w MCNP,cg22577136,0.202459038,8.93064E-05
26w ?DEHP,cg01944038,0.127498766,8.9367E-05
13w MCNP,cg06332484,-0.278075515,8.94018E-05
26w MCNP,ch.18.807506F,0.207481875,8.9425E-05
Avg MEOHP,cg09776910,0.270406575,8.96577E-05
26w MCNP,cg03776551,0.167858104,8.99101E-05
Avg MEP,cg25796062,-0.10202378,8.99862E-05
13w MCPP,cg14270348,0.471415834,9.00769E-05
26w MBzP,cg09557387,1.601307456,9.02199E-05
26w MEP,cg07678518,-0.099314764,9.02656E-05
26w MECPP,cg04892126,0.218016233,9.03437E-05
Avg MCNP,cg06835628,0.367115912,9.04445E-05
26w MECPP,cg19100061,0.132302141,9.04928E-05
26w MEHHP,cg18052443,0.122432039,9.05441E-05
Avg ?HMW,cg18011273,-0.299368622,9.06395E-05
26w ?DEHP,cg16585682,0.144113701,9.06432E-05
13w MCPP,cg04184623,0.052907913,9.06439E-05
Avg MiBP,cg09169014,-0.11989291,9.06763E-05
26w MCNP,cg11465226,0.107947551,9.08499E-05
Avg MBzP,cg07882850,-0.231717068,9.08528E-05
13w MECPP,cg14281165,-0.346192803,9.09482E-05
Avg MBP,cg03426174,-0.284212693,9.09484E-05
13w MCPP,cg04517747,-0.143576799,9.0963E-05
26w MCNP,cg03012676,0.122670936,9.09758E-05
26w MEHHP,cg14173185,0.115269297,9.09855E-05
26w MCNP,cg04144394,0.130066753,9.12094E-05
26w MCNP,cg07481734,0.175165996,9.12642E-05
Avg MEOHP,cg16162391,0.249513413,9.12878E-05
26W ?LMW,cg08485649,0.246504695,9.14223E-05
Avg ?LMW,cg07165529,-0.185417317,9.15402E-05
13w MECPP,cg04586299,-0.10297674,9.16564E-05
26w MEHP,cg08697116,0.17472151,9.17217E-05
26w MCNP,cg10274830,0.211843838,9.17448E-05
26w MCNP,cg20248527,0.175489624,9.18176E-05
26w MCNP,cg19959497,0.129435,9.1859E-05
Avg MEOHP,cg01944038,0.131248531,9.21774E-05
26w MECPP,cg09568355,0.133463706,9.23428E-05
Avg MCNP,cg11531787,0.300812865,9.2558E-05
26w MCNP,ch.4.2245532F,0.392043785,9.26172E-05
26w MCNP,cg14958889,0.133639855,9.26387E-05
26w MECPP,cg00421848,0.197955642,9.2756E-05
26w MEHHP,ch.14.40801112R,0.480852132,9.27564E-05
26w MCNP,cg21080112,0.132959008,9.29008E-05
26w MCNP,cg00713925,0.149337655,9.30171E-05
Avg MCNP,cg08449639,0.331070703,9.30497E-05
26w MECPP,cg09163317,0.187732982,9.30539E-05
13w MCPP,cg00870179,0.075774123,9.3607E-05
26w MCNP,cg26230245,0.11794069,9.36078E-05
Avg MEHP,cg07006526,0.395153634,9.36547E-05
26w MCNP,cg24608385,0.177559934,9.36668E-05
Avg MEP,cg25392384,0.192514185,9.37549E-05
26w MEHHP,cg06322403,0.092390542,9.37748E-05
26w MCNP,cg03499052,0.167076723,9.37817E-05
26w MCNP,cg04109278,0.161188038,9.40735E-05
26w MECPP,cg13284574,0.168540681,9.43924E-05
26w MCNP,cg21116410,0.153346632,9.44875E-05
Avg MEOHP,cg08361399,0.252617897,9.44891E-05
Avg MEP,cg02481714,-0.107842195,9.44967E-05
13w ?LMW,cg14789214,0.070240534,9.4522E-05
Avg MEHP,cg15433097,0.163789282,9.46205E-05
Avg MCPP,cg10356463,-0.149207655,9.46852E-05
26w ?DEHP,cg08278648,0.095761114,9.47158E-05
Avg ?DEHP,ch.6.20366279F,-0.399488664,9.47403E-05
13w MEOHP,cg18011273,-0.175645611,9.47716E-05
13w MECPP,cg01543307,-0.248663888,9.49457E-05
26w MCNP,cg09404334,0.135410869,9.50616E-05
26w MEHHP,cg05861071,0.092810159,9.50622E-05
13w MBP,cg03973379,-0.183549613,9.50782E-05
26w MCNP,cg02545222,0.157896963,9.51088E-05
13w MBP,cg06647446,-0.176894882,9.51223E-05
26w MCNP,cg09516696,-0.179661982,9.51581E-05
26w MCPP,cg20513548,0.126052893,9.53347E-05
13w MCPP,cg19682835,-0.12687361,9.5363E-05
26w MCNP,cg01346589,0.163520939,9.57316E-05
26w MECPP,cg08251064,0.195580355,9.57696E-05
26w MCNP,cg11179081,0.225634421,9.57888E-05
13w MBP,cg03157795,-0.131413459,9.5823E-05
26w MCNP,cg26647312,0.166867121,9.58946E-05
26w MCNP,cg14296147,0.145629202,9.60073E-05
26w MCNP,cg05626242,0.204361463,9.6026E-05
26w MEP,cg23617042,-0.116639083,9.61468E-05
26w MCNP,cg16343820,0.167891093,9.64043E-05
Avg MBP,cg13831388,-0.234626863,9.64504E-05
26w ?DEHP,cg24252723,0.132984275,9.64791E-05
26w MCNP,cg20118557,0.161524248,9.67854E-05
Avg MECPP,cg13500195,0.262688156,9.70314E-05
Avg MEP,cg01553986,0.142254897,9.70482E-05
Avg MECPP,cg13828183,0.165922474,9.70993E-05
13w MECPP,cg24849517,-0.175318051,9.71185E-05
Avg MCPP,cg19942383,-0.149863793,9.72391E-05
13w ?DEHP,cg06225476,-0.190622716,9.76338E-05
Avg ?LMW,cg26114907,-0.113675701,9.76937E-05
26w MEHP,cg19981185,0.104436778,9.82941E-05
26w MEOHP,cg12126796,0.199874867,9.84761E-05
26w MCNP,cg06162516,-0.38069662,9.86213E-05
26w MEHHP,cg14576681,0.103197286,9.88516E-05
13w MCPP,cg02508848,0.152500052,9.89436E-05
26w MCPP,cg13554744,0.273503263,9.89648E-05
26W ?LMW,cg18726036,-0.166146705,9.91642E-05
26w MCNP,cg10837843,0.153197111,9.93255E-05
Avg MBzP,cg20252015,-0.182830584,9.94477E-05
26w MCNP,cg00718748,0.146871039,9.95652E-05
Avg MBzP,cg05224573,-0.200210853,9.95805E-05
26w MCNP,cg19618955,-0.233114899,9.96298E-05
26w MEHHP,cg16061375,0.116756435,9.96505E-05
13w MEP,cg15713389,-0.106364708,9.96547E-05
13w MEP,cg25266603,-0.106231066,9.99368E-05
26w MCNP,cg07049929,0.192288636,9.99432E-05
