cpg,beta,p,,,,
cg07388493,-0.014636142,7.69E-08,,,,
cg13189434,-0.005602385,7.70E-08,,,,
cg02395812,-0.006143903,7.72E-08,,,,
cg20669641,-0.006995479,7.80E-08,,,,
cg05668853,-0.006718407,7.84E-08,,,,
cg16219603,0.008570201,7.84E-08,,,,
cg04080625,-0.005628343,7.85E-08,,,,
cg00116430,-0.008704162,7.85E-08,,,,
cg19500607,-0.010450431,7.86E-08,,,,
cg14134497,0.014578602,7.86E-08,,,,
cg16024523,-0.005566567,7.89E-08,,,,
cg03480383,-0.005159068,7.89E-08,,,,
cg04306007,0.007364692,7.90E-08,,,,
cg25015416,-0.008164167,7.91E-08,,,,
cg15439326,-0.005597804,7.92E-08,,,,
cg03262242,-0.011649666,8.00E-08,,,,
cg09368716,-0.007044677,8.02E-08,,,,
cg06669752,-0.012608073,8.05E-08,,,,
cg10107473,-0.009328302,8.05E-08,,,,
cg02513379,-0.014748121,8.09E-08,,,,
cg06191898,0.016589746,8.09E-08,,,,
cg19504702,0.009818396,8.13E-08,,,,
cg22331349,0.008855922,8.17E-08,,,,
cg18592273,0.00807321,8.17E-08,,,,
cg22025132,0.006406206,8.23E-08,,,,
cg07666840,-0.007319177,8.25E-08,,,,
cg25725823,-0.010758564,8.26E-08,,,,
cg14950044,0.005095295,8.30E-08,,,,
cg00808969,-0.007729761,8.36E-08,,,,
cg23878494,-0.006404179,8.38E-08,,,,
cg20889841,0.003055717,8.44E-08,,,,
cg06731730,-0.008015146,8.54E-08,,,,
cg06787724,-0.006417092,8.54E-08,,,,
cg14218480,-0.007408834,8.60E-08,,,,
cg26671246,-0.004660421,8.61E-08,,,,
cg03470671,-0.013050951,8.62E-08,,,,
cg16205854,0.007305819,8.62E-08,,,,
cg08458655,-0.005359891,8.64E-08,,,,
cg08841552,-0.007123358,8.67E-08,,,,
cg18215449,-0.010321818,8.68E-08,,,,
cg20073893,-0.007853102,8.79E-08,,,,
cg19236454,-0.007877078,8.99E-08,,,,
cg26575914,-0.005335134,9.04E-08,,,,
cg05261851,-0.004465388,9.07E-08,,,,
cg11726250,-0.014728199,9.10E-08,,,,
cg14074174,-0.004666918,9.15E-08,,,,
cg00531628,0.008511422,9.19E-08,,,,
cg16498194,0.008751923,9.23E-08,,,,
cg03555227,0.007218933,9.24E-08,,,,
cg00143376,-0.006735967,9.25E-08,,,,
cg04102163,0.010882916,9.25E-08,,,,
cg03593189,0.006112587,9.26E-08,,,,
cg00399483,0.007685057,9.27E-08,,,,
cg18038779,-0.004699816,9.28E-08,,,,
cg03172931,-0.008685045,9.29E-08,,,,
cg16392193,-0.005245068,9.30E-08,,,,
cg22108374,0.009000942,9.31E-08,,,,
cg27109877,0.013677285,9.32E-08,,,,
cg17419731,-0.01367417,9.35E-08,,,,
cg09788778,-0.013941799,9.41E-08,,,,
cg15215033,-0.007084208,9.41E-08,,,,
cg07022048,-0.006181737,9.43E-08,,,,
cg13319938,-0.006475537,9.46E-08,,,,
cg00776080,-0.012331661,9.50E-08,,,,
cg07973507,-0.013457314,9.56E-08,,,,
cg19816290,-0.005021991,9.58E-08,,,,
cg05766107,-0.006660113,9.59E-08,,,,
cg10906284,0.012843211,9.76E-08,,,,
cg08593157,-0.007029642,9.78E-08,,,,
cg07963234,0.017245553,9.78E-08,,,,
cg05652533,0.013104851,9.84E-08,,,,
cg07362800,-0.009131266,9.86E-08,,,,
cg15588941,-0.007815615,9.88E-08,,,,
cg13458211,-0.004948168,1.01E-07,,,,
cg17280514,-0.005860893,1.01E-07,,,,
cg20084652,-0.006152827,1.02E-07,,,,
cg16541931,0.010444523,1.02E-07,,,,
cg02257517,-0.006190485,1.03E-07,,,,
cg19332452,0.003694712,1.03E-07,,,,
cg01184975,0.019114203,1.03E-07,,,,
cg26140749,-0.008997823,1.03E-07,,,,
cg02498722,0.00920113,1.03E-07,,,,
cg07833104,-0.005001816,1.04E-07,,,,
cg19258882,-0.005743783,1.04E-07,,,,
cg11836829,-0.016466055,1.04E-07,,,,
cg21229153,-0.006285006,1.04E-07,,,,
cg00193668,-0.008975064,1.05E-07,,,,
cg06268694,0.013666741,1.05E-07,,,,
cg25460807,-0.013499904,1.06E-07,,,,
cg20390711,0.0382619,1.06E-07,,,,
cg23495995,-0.008312362,1.07E-07,,,,
cg00459243,-0.008763127,1.07E-07,,,,
cg11425254,0.006675577,1.07E-07,,,,
cg00329447,-0.0069749,1.07E-07,,,,
cg17864091,-0.009240573,1.08E-07,,,,
cg00524486,-0.006831951,1.08E-07,,,,
cg14431361,0.00769112,1.08E-07,,,,
cg23444474,-0.005682417,1.08E-07,,,,
cg20685419,-0.005318275,1.09E-07,,,,
cg09718071,-0.007401886,1.09E-07,,,,
cg04299080,-0.008143606,1.09E-07,,,,
cg24673101,0.00569966,1.09E-07,,,,
cg05163510,-0.007598339,1.11E-07,,,,
cg10383568,-0.007887049,1.11E-07,,,,
cg16554164,-0.009421364,1.12E-07,,,,
cg26513304,-0.008443974,1.12E-07,,,,
cg10783469,0.011466612,1.12E-07,,,,
cg16000360,-0.010984285,1.13E-07,,,,
cg13388731,-0.00981207,1.13E-07,,,,
cg15240733,-0.005295738,1.14E-07,,,,
cg22947000,-0.009851991,1.15E-07,,,,
cg12179661,-0.006798795,1.15E-07,,,,
cg02796773,0.003975336,1.15E-07,,,,
cg04671739,-0.00655678,1.16E-07,,,,
cg04433322,-0.008366775,1.17E-07,,,,
cg04896437,-0.005731475,1.17E-07,,,,
cg15804973,-0.01493158,1.17E-07,,,,
cg02991558,-0.00972787,1.17E-07,,,,
cg22697825,-0.005379428,1.17E-07,,,,
cg14900246,-0.011777381,1.18E-07,,,,
cg09026994,-0.006780924,1.18E-07,,,,
cg04914057,-0.007256879,1.19E-07,,,,
cg17603689,0.010523078,1.19E-07,,,,
cg26162147,-0.014154939,1.19E-07,,,,
cg09096555,0.009902594,1.20E-07,,,,
cg25032595,0.03318433,1.21E-07,,,,
cg03715305,-0.005503432,1.22E-07,,,,
cg19904265,-0.014320877,1.22E-07,,,,
cg20724257,-0.016939116,1.22E-07,,,,
cg11324538,-0.005705438,1.22E-07,,,,
cg02246725,-0.006729986,1.22E-07,,,,
cg01190666,-0.005506876,1.23E-07,,,,
cg14410016,0.008111667,1.23E-07,,,,
cg14926216,-0.003352535,1.24E-07,,,,
cg15798873,-0.010311022,1.24E-07,,,,
cg23281018,-0.009454922,1.24E-07,,,,
cg10798225,-0.009271937,1.25E-07,,,,
cg00344801,-0.007411628,1.26E-07,,,,
cg03991512,-0.006544085,1.27E-07,,,,
cg12924402,-0.014057488,1.27E-07,,,,
cg03885332,-0.007132107,1.27E-07,,,,
